stock,variable,year,mean,sd,lower,upper,status
Callinectes sapidus,b_div_bmsy,2019,1.32690261352404,0.181037734966335,0.993185486820822,1.76380516617855,Underfished
Crassostrea virginica,b_div_bmsy,2019,1.11842866549491,0.12485857844751,0.917062619920191,1.36345627262334,Fully fished
Opisthonema oglinum,b_div_bmsy,2019,0.859932648715146,0.197320534930874,0.622441067636921,1.16865036447873,Fully fished
Pogonias cromis,b_div_bmsy,2019,0.455580757848451,0.239324231358557,0.312759904670589,0.677583479634338,Overfished
